Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
CBRE,CBRE US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,29101.4882,44561,1877.636,1.028,598.5
CDW,CDW US Equity,44631,44631,D,Q,USD,44631,1.144,29353.036,22940.5358,44561,6816.3,1.917,410.2
CE,CE US Equity,44631,44631,D,Q,USD,44631,2.01,18570.319,14909.1191,44561,3658,4.119,651.455
CNC,CNC US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,53886.607,48617.6067,44561,8004,1.704,1623.8
CNP,CNP US Equity,44631,44631,D,Q,USD,44631,2.348,35616.73,17891.2301,44561,15350,0.484,813.25
CDAY,CDAY US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,10105.209,9332.809,44561,810.7,0.103,49.036
CERN,CERN US Equity,44631,44631,D,Q,USD,44631,1.077,28541.338,27398.338,44561,1088.641,0.872,497.571
CF,CF US Equity,44631,44631,D,Q,USD,44631,1.261,24039.634,19911.6339,44561,2088,3.546,1236.667
CRL,CRL US Equity,44631,44631,D,Q,USD,44631,11.559,15583.988,13103.1486,44561,2710.321,2.724,240.143
SCHW,SCHW US Equity,44631,44631,D,Q,USD,44631,0.977,135607.697,151967.6971,44561,-38465,0.841,2098.667
CHTR,CHTR US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,206944.084,110383.4476,44561,92320,6.989,5336.636
CVX,CVX US Equity,44631,44631,D,Q,USD,44631,3.324,355973.492,332836.8668,44561,29197,2.371,10893.545
CMG,CMG US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,42179.949,41358.6164,44561,2443.995,6.811,326.556
CB,CB US Equity,44631,44631,D,Q,USD,44631,1.631,71550.949,86059.9487,44561,15301,3.584,#N/A N/A
CHD,CHD US Equity,44631,44631,D,Q,USD,44631,1.097,25518.253,23092.1104,44561,2493.3,0.865,342.5
CI,CI US Equity,44631,44631,D,Q,USD,44631,1.869,102341.703,72811.4532,44561,28264,5.272,2748.2
